,number_of_passage,timestamp,line,road_type
0,394,2022-02-01 06:00:00,USKUDAR-EMINONU,DENIZ
1,957,2022-02-01 07:00:00,USKUDAR-EMINONU,DENIZ
2,915,2022-02-01 08:00:00,USKUDAR-EMINONU,DENIZ
3,715,2022-02-01 09:00:00,USKUDAR-EMINONU,DENIZ
4,767,2022-02-01 10:00:00,USKUDAR-EMINONU,DENIZ
5,1058,2022-02-01 11:00:00,USKUDAR-EMINONU,DENIZ
6,1384,2022-02-01 12:00:00,USKUDAR-EMINONU,DENIZ
7,1337,2022-02-01 13:00:00,USKUDAR-EMINONU,DENIZ
8,1175,2022-02-01 14:00:00,USKUDAR-EMINONU,DENIZ
9,935,2022-02-01 15:00:00,USKUDAR-EMINONU,DENIZ
10,596,2022-02-01 16:00:00,USKUDAR-EMINONU,DENIZ
11,492,2022-02-01 17:00:00,USKUDAR-EMINONU,DENIZ
12,466,2022-02-01 18:00:00,USKUDAR-EMINONU,DENIZ
13,259,2022-02-01 19:00:00,USKUDAR-EMINONU,DENIZ
14,219,2022-02-01 20:00:00,USKUDAR-EMINONU,DENIZ
15,130,2022-02-01 21:00:00,USKUDAR-EMINONU,DENIZ
16,2,2022-02-01 22:00:00,USKUDAR-EMINONU,DENIZ
17,0,2022-02-01 23:00:00,USKUDAR-EMINONU,DENIZ
18,0,2022-02-02 00:00:00,USKUDAR-EMINONU,DENIZ
19,0,2022-02-02 01:00:00,USKUDAR-EMINONU,DENIZ
20,0,2022-02-02 02:00:00,USKUDAR-EMINONU,DENIZ
21,0,2022-02-02 03:00:00,USKUDAR-EMINONU,DENIZ
22,0,2022-02-02 04:00:00,USKUDAR-EMINONU,DENIZ
23,0,2022-02-02 05:00:00,USKUDAR-EMINONU,DENIZ
24,403,2022-02-02 06:00:00,USKUDAR-EMINONU,DENIZ
25,915,2022-02-02 07:00:00,USKUDAR-EMINONU,DENIZ
26,860,2022-02-02 08:00:00,USKUDAR-EMINONU,DENIZ
27,641,2022-02-02 09:00:00,USKUDAR-EMINONU,DENIZ
28,600,2022-02-02 10:00:00,USKUDAR-EMINONU,DENIZ
29,827,2022-02-02 11:00:00,USKUDAR-EMINONU,DENIZ
30,880,2022-02-02 12:00:00,USKUDAR-EMINONU,DENIZ
31,919,2022-02-02 13:00:00,USKUDAR-EMINONU,DENIZ
32,794,2022-02-02 14:00:00,USKUDAR-EMINONU,DENIZ
33,682,2022-02-02 15:00:00,USKUDAR-EMINONU,DENIZ
34,540,2022-02-02 16:00:00,USKUDAR-EMINONU,DENIZ
35,510,2022-02-02 17:00:00,USKUDAR-EMINONU,DENIZ
36,313,2022-02-02 18:00:00,USKUDAR-EMINONU,DENIZ
37,246,2022-02-02 19:00:00,USKUDAR-EMINONU,DENIZ
38,150,2022-02-02 20:00:00,USKUDAR-EMINONU,DENIZ
39,91,2022-02-02 21:00:00,USKUDAR-EMINONU,DENIZ
40,0,2022-02-02 22:00:00,USKUDAR-EMINONU,DENIZ
41,0,2022-02-02 23:00:00,USKUDAR-EMINONU,DENIZ
42,0,2022-02-03 00:00:00,USKUDAR-EMINONU,DENIZ
43,0,2022-02-03 01:00:00,USKUDAR-EMINONU,DENIZ
44,0,2022-02-03 02:00:00,USKUDAR-EMINONU,DENIZ
45,0,2022-02-03 03:00:00,USKUDAR-EMINONU,DENIZ
46,0,2022-02-03 04:00:00,USKUDAR-EMINONU,DENIZ
47,0,2022-02-03 05:00:00,USKUDAR-EMINONU,DENIZ
48,383,2022-02-03 06:00:00,USKUDAR-EMINONU,DENIZ
49,833,2022-02-03 07:00:00,USKUDAR-EMINONU,DENIZ
50,787,2022-02-03 08:00:00,USKUDAR-EMINONU,DENIZ
51,616,2022-02-03 09:00:00,USKUDAR-EMINONU,DENIZ
52,464,2022-02-03 10:00:00,USKUDAR-EMINONU,DENIZ
53,512,2022-02-03 11:00:00,USKUDAR-EMINONU,DENIZ
54,614,2022-02-03 12:00:00,USKUDAR-EMINONU,DENIZ
55,619,2022-02-03 13:00:00,USKUDAR-EMINONU,DENIZ
56,627,2022-02-03 14:00:00,USKUDAR-EMINONU,DENIZ
57,545,2022-02-03 15:00:00,USKUDAR-EMINONU,DENIZ
58,411,2022-02-03 16:00:00,USKUDAR-EMINONU,DENIZ
59,381,2022-02-03 17:00:00,USKUDAR-EMINONU,DENIZ
60,231,2022-02-03 18:00:00,USKUDAR-EMINONU,DENIZ
61,175,2022-02-03 19:00:00,USKUDAR-EMINONU,DENIZ
62,120,2022-02-03 20:00:00,USKUDAR-EMINONU,DENIZ
63,70,2022-02-03 21:00:00,USKUDAR-EMINONU,DENIZ
64,0,2022-02-03 22:00:00,USKUDAR-EMINONU,DENIZ
65,0,2022-02-03 23:00:00,USKUDAR-EMINONU,DENIZ
66,0,2022-02-04 00:00:00,USKUDAR-EMINONU,DENIZ
67,0,2022-02-04 01:00:00,USKUDAR-EMINONU,DENIZ
68,0,2022-02-04 02:00:00,USKUDAR-EMINONU,DENIZ
69,0,2022-02-04 03:00:00,USKUDAR-EMINONU,DENIZ
70,0,2022-02-04 04:00:00,USKUDAR-EMINONU,DENIZ
71,0,2022-02-04 05:00:00,USKUDAR-EMINONU,DENIZ
72,395,2022-02-04 06:00:00,USKUDAR-EMINONU,DENIZ
73,948,2022-02-04 07:00:00,USKUDAR-EMINONU,DENIZ
74,920,2022-02-04 08:00:00,USKUDAR-EMINONU,DENIZ
75,721,2022-02-04 09:00:00,USKUDAR-EMINONU,DENIZ
76,873,2022-02-04 10:00:00,USKUDAR-EMINONU,DENIZ
77,1112,2022-02-04 11:00:00,USKUDAR-EMINONU,DENIZ
78,1380,2022-02-04 12:00:00,USKUDAR-EMINONU,DENIZ
79,1252,2022-02-04 13:00:00,USKUDAR-EMINONU,DENIZ
80,1544,2022-02-04 14:00:00,USKUDAR-EMINONU,DENIZ
81,1361,2022-02-04 15:00:00,USKUDAR-EMINONU,DENIZ
82,1037,2022-02-04 16:00:00,USKUDAR-EMINONU,DENIZ
83,1081,2022-02-04 17:00:00,USKUDAR-EMINONU,DENIZ
84,664,2022-02-04 18:00:00,USKUDAR-EMINONU,DENIZ
85,516,2022-02-04 19:00:00,USKUDAR-EMINONU,DENIZ
86,286,2022-02-04 20:00:00,USKUDAR-EMINONU,DENIZ
87,151,2022-02-04 21:00:00,USKUDAR-EMINONU,DENIZ
88,0,2022-02-04 22:00:00,USKUDAR-EMINONU,DENIZ
89,0,2022-02-04 23:00:00,USKUDAR-EMINONU,DENIZ
90,0,2022-02-05 00:00:00,USKUDAR-EMINONU,DENIZ
91,0,2022-02-05 01:00:00,USKUDAR-EMINONU,DENIZ
92,0,2022-02-05 02:00:00,USKUDAR-EMINONU,DENIZ
93,0,2022-02-05 03:00:00,USKUDAR-EMINONU,DENIZ
94,0,2022-02-05 04:00:00,USKUDAR-EMINONU,DENIZ
95,0,2022-02-05 05:00:00,USKUDAR-EMINONU,DENIZ
96,264,2022-02-05 06:00:00,USKUDAR-EMINONU,DENIZ
97,651,2022-02-05 07:00:00,USKUDAR-EMINONU,DENIZ
98,692,2022-02-05 08:00:00,USKUDAR-EMINONU,DENIZ
99,657,2022-02-05 09:00:00,USKUDAR-EMINONU,DENIZ
100,851,2022-02-05 10:00:00,USKUDAR-EMINONU,DENIZ
101,1237,2022-02-05 11:00:00,USKUDAR-EMINONU,DENIZ
102,1820,2022-02-05 12:00:00,USKUDAR-EMINONU,DENIZ
103,1988,2022-02-05 13:00:00,USKUDAR-EMINONU,DENIZ
104,2247,2022-02-05 14:00:00,USKUDAR-EMINONU,DENIZ
105,2001,2022-02-05 15:00:00,USKUDAR-EMINONU,DENIZ
106,1682,2022-02-05 16:00:00,USKUDAR-EMINONU,DENIZ
107,1368,2022-02-05 17:00:00,USKUDAR-EMINONU,DENIZ
108,1118,2022-02-05 18:00:00,USKUDAR-EMINONU,DENIZ
109,721,2022-02-05 19:00:00,USKUDAR-EMINONU,DENIZ
110,433,2022-02-05 20:00:00,USKUDAR-EMINONU,DENIZ
111,234,2022-02-05 21:00:00,USKUDAR-EMINONU,DENIZ
112,5,2022-02-05 22:00:00,USKUDAR-EMINONU,DENIZ
113,0,2022-02-05 23:00:00,USKUDAR-EMINONU,DENIZ
114,0,2022-02-06 00:00:00,USKUDAR-EMINONU,DENIZ
115,0,2022-02-06 01:00:00,USKUDAR-EMINONU,DENIZ
116,0,2022-02-06 02:00:00,USKUDAR-EMINONU,DENIZ
117,0,2022-02-06 03:00:00,USKUDAR-EMINONU,DENIZ
118,0,2022-02-06 04:00:00,USKUDAR-EMINONU,DENIZ
119,0,2022-02-06 05:00:00,USKUDAR-EMINONU,DENIZ
120,43,2022-02-06 06:00:00,USKUDAR-EMINONU,DENIZ
121,93,2022-02-06 07:00:00,USKUDAR-EMINONU,DENIZ
122,171,2022-02-06 08:00:00,USKUDAR-EMINONU,DENIZ
123,261,2022-02-06 09:00:00,USKUDAR-EMINONU,DENIZ
124,475,2022-02-06 10:00:00,USKUDAR-EMINONU,DENIZ
125,787,2022-02-06 11:00:00,USKUDAR-EMINONU,DENIZ
126,1327,2022-02-06 12:00:00,USKUDAR-EMINONU,DENIZ
127,1664,2022-02-06 13:00:00,USKUDAR-EMINONU,DENIZ
128,2174,2022-02-06 14:00:00,USKUDAR-EMINONU,DENIZ
129,2246,2022-02-06 15:00:00,USKUDAR-EMINONU,DENIZ
130,2039,2022-02-06 16:00:00,USKUDAR-EMINONU,DENIZ
131,1826,2022-02-06 17:00:00,USKUDAR-EMINONU,DENIZ
132,1514,2022-02-06 18:00:00,USKUDAR-EMINONU,DENIZ
133,1053,2022-02-06 19:00:00,USKUDAR-EMINONU,DENIZ
134,521,2022-02-06 20:00:00,USKUDAR-EMINONU,DENIZ
135,256,2022-02-06 21:00:00,USKUDAR-EMINONU,DENIZ
136,0,2022-02-06 22:00:00,USKUDAR-EMINONU,DENIZ
137,0,2022-02-06 23:00:00,USKUDAR-EMINONU,DENIZ
138,0,2022-02-07 00:00:00,USKUDAR-EMINONU,DENIZ
139,0,2022-02-07 01:00:00,USKUDAR-EMINONU,DENIZ
140,0,2022-02-07 02:00:00,USKUDAR-EMINONU,DENIZ
141,0,2022-02-07 03:00:00,USKUDAR-EMINONU,DENIZ
142,0,2022-02-07 04:00:00,USKUDAR-EMINONU,DENIZ
143,0,2022-02-07 05:00:00,USKUDAR-EMINONU,DENIZ
144,475,2022-02-07 06:00:00,USKUDAR-EMINONU,DENIZ
145,975,2022-02-07 07:00:00,USKUDAR-EMINONU,DENIZ
146,951,2022-02-07 08:00:00,USKUDAR-EMINONU,DENIZ
147,783,2022-02-07 09:00:00,USKUDAR-EMINONU,DENIZ
148,766,2022-02-07 10:00:00,USKUDAR-EMINONU,DENIZ
149,1021,2022-02-07 11:00:00,USKUDAR-EMINONU,DENIZ
150,1269,2022-02-07 12:00:00,USKUDAR-EMINONU,DENIZ
151,1171,2022-02-07 13:00:00,USKUDAR-EMINONU,DENIZ
152,1210,2022-02-07 14:00:00,USKUDAR-EMINONU,DENIZ
153,944,2022-02-07 15:00:00,USKUDAR-EMINONU,DENIZ
154,750,2022-02-07 16:00:00,USKUDAR-EMINONU,DENIZ
155,636,2022-02-07 17:00:00,USKUDAR-EMINONU,DENIZ
156,477,2022-02-07 18:00:00,USKUDAR-EMINONU,DENIZ
157,359,2022-02-07 19:00:00,USKUDAR-EMINONU,DENIZ
158,203,2022-02-07 20:00:00,USKUDAR-EMINONU,DENIZ
159,87,2022-02-07 21:00:00,USKUDAR-EMINONU,DENIZ
160,0,2022-02-07 22:00:00,USKUDAR-EMINONU,DENIZ
161,0,2022-02-07 23:00:00,USKUDAR-EMINONU,DENIZ
162,0,2022-02-08 00:00:00,USKUDAR-EMINONU,DENIZ
163,0,2022-02-08 01:00:00,USKUDAR-EMINONU,DENIZ
164,0,2022-02-08 02:00:00,USKUDAR-EMINONU,DENIZ
165,0,2022-02-08 03:00:00,USKUDAR-EMINONU,DENIZ
166,0,2022-02-08 04:00:00,USKUDAR-EMINONU,DENIZ
167,0,2022-02-08 05:00:00,USKUDAR-EMINONU,DENIZ
168,386,2022-02-08 06:00:00,USKUDAR-EMINONU,DENIZ
169,810,2022-02-08 07:00:00,USKUDAR-EMINONU,DENIZ
170,824,2022-02-08 08:00:00,USKUDAR-EMINONU,DENIZ
171,579,2022-02-08 09:00:00,USKUDAR-EMINONU,DENIZ
172,444,2022-02-08 10:00:00,USKUDAR-EMINONU,DENIZ
173,377,2022-02-08 11:00:00,USKUDAR-EMINONU,DENIZ
174,371,2022-02-08 12:00:00,USKUDAR-EMINONU,DENIZ
175,327,2022-02-08 13:00:00,USKUDAR-EMINONU,DENIZ
176,274,2022-02-08 14:00:00,USKUDAR-EMINONU,DENIZ
177,221,2022-02-08 15:00:00,USKUDAR-EMINONU,DENIZ
178,157,2022-02-08 16:00:00,USKUDAR-EMINONU,DENIZ
179,109,2022-02-08 17:00:00,USKUDAR-EMINONU,DENIZ
180,91,2022-02-08 18:00:00,USKUDAR-EMINONU,DENIZ
181,68,2022-02-08 19:00:00,USKUDAR-EMINONU,DENIZ
182,46,2022-02-08 20:00:00,USKUDAR-EMINONU,DENIZ
