lot_area,neighborhood,overall_quality,overall_condition,year_built,basement_area,first_floor_area,second_floor_area,full_bath,half_bath,bedrooms,kitchens,garage_area,pool_area,sale_price
31770,NAmes,6,5,1960,1080.0,1656,0,1,0,3,1,528.0,0,215000
11622,NAmes,5,6,1961,882.0,896,0,1,0,2,1,730.0,0,105000
14267,NAmes,6,6,1958,1329.0,1329,0,1,1,3,1,312.0,0,172000
11160,NAmes,7,5,1968,2110.0,2110,0,2,1,3,1,522.0,0,244000
13830,Gilbert,5,5,1997,928.0,928,701,2,1,3,1,482.0,0,189900
9978,Gilbert,6,6,1998,926.0,926,678,2,1,3,1,470.0,0,195500
4920,StoneBr,8,5,2001,1338.0,1338,0,2,0,2,1,582.0,0,213500
5005,StoneBr,8,5,1992,1280.0,1280,0,2,0,2,1,506.0,0,191500
5389,StoneBr,8,5,1995,1595.0,1616,0,2,0,2,1,608.0,0,236500
7500,Gilbert,7,5,1999,994.0,1028,776,2,1,3,1,442.0,0,189000
10000,Gilbert,6,5,1993,763.0,763,892,2,1,3,1,440.0,0,175900
7980,Gilbert,6,7,1992,1168.0,1187,0,2,0,3,1,420.0,0,185000
8402,Gilbert,6,5,1998,789.0,789,676,2,1,3,1,393.0,0,180400
10176,Gilbert,7,5,1990,1300.0,1341,0,1,1,2,1,506.0,0,171500
6820,StoneBr,8,5,1985,1488.0,1502,0,1,1,1,1,528.0,0,212000
53504,StoneBr,8,5,2003,1650.0,1690,1589,3,1,4,1,841.0,0,538000
12134,Gilbert,8,7,1988,559.0,1080,672,2,0,4,1,492.0,0,164000
11394,StoneBr,9,2,2010,1856.0,1856,0,1,1,1,1,834.0,0,394432
19138,Gilbert,4,5,1951,864.0,864,0,1,0,2,1,400.0,0,141000
13175,NWAmes,6,6,1978,1542.0,2073,0,2,0,3,1,500.0,0,210000
11751,NWAmes,6,6,1977,1844.0,1844,0,2,0,3,1,546.0,0,190000
10625,NWAmes,7,6,1974,1053.0,1173,0,2,0,3,1,528.0,0,170000
7500,Somerst,7,5,2000,814.0,814,860,2,1,3,1,663.0,0,216000
11241,NAmes,6,7,1970,1004.0,1004,0,1,0,2,1,480.0,0,149000
12537,NAmes,5,6,1971,1078.0,1078,0,1,1,3,1,500.0,0,149900
8450,NAmes,5,6,1968,1056.0,1056,0,1,0,3,1,304.0,0,142000
8400,NAmes,4,5,1970,882.0,882,0,1,0,2,1,525.0,0,126000
10500,NAmes,4,5,1971,864.0,864,0,1,0,3,1,0.0,0,115000
5858,NAmes,7,5,1999,1405.0,1337,0,2,0,2,1,511.0,0,184000
1680,BrDale,6,5,1971,483.0,483,504,1,1,2,1,264.0,0,96000
1680,BrDale,5,5,1971,525.0,525,567,1,1,3,1,320.0,0,105500
1680,BrDale,6,5,1971,525.0,525,567,1,1,3,1,264.0,0,88000
4043,NPkVill,6,5,1977,1069.0,1069,0,2,0,2,1,440.0,0,127500
2280,NPkVill,6,6,1975,855.0,855,601,2,1,3,1,440.0,0,149900
2280,NPkVill,7,6,1975,836.0,836,0,1,0,2,1,308.0,0,120000
2280,NPkVill,6,5,1978,855.0,855,601,2,1,3,1,440.0,0,146000
12858,NridgHt,9,5,2009,1590.0,1627,707,2,1,3,1,751.0,0,376162
11478,NridgHt,8,5,2007,1704.0,1704,0,2,0,3,1,772.0,0,306000
10159,NridgHt,9,5,2009,1930.0,1940,0,2,1,3,1,606.0,0,395192
12883,NridgHt,8,5,2009,1544.0,1544,0,2,0,3,1,868.0,0,290941
12182,NridgHt,7,5,2005,1541.0,1541,0,2,0,3,1,532.0,0,220000
11520,NridgHt,9,5,2005,1698.0,1698,0,2,0,3,1,730.0,0,275000
14122,NridgHt,8,5,2005,1822.0,1822,0,2,0,3,1,678.0,0,259000
10171,NridgHt,7,5,2004,1517.0,1535,0,2,0,3,1,532.0,0,214000
12919,NridgHt,9,5,2009,2330.0,2364,0,2,1,2,1,820.0,0,611657
6371,NridgHt,7,5,2009,1358.0,1358,0,2,0,2,1,484.0,0,224000
14300,NridgHt,9,5,2003,2846.0,2696,0,2,1,3,1,958.0,0,500000
13650,NridgHt,8,5,2002,1671.0,1687,563,2,1,3,1,756.0,0,320000
7658,NridgHt,9,5,2005,1752.0,1752,0,2,0,2,1,576.0,0,319900
7132,NridgHt,8,5,2006,1370.0,1370,0,2,0,2,1,484.0,0,205000
2628,NridgHt,7,5,2003,764.0,764,862,2,1,2,1,474.0,0,175500
18494,Gilbert,6,5,2005,1324.0,1324,0,2,0,3,1,430.0,0,199500
3203,Blmngtn,7,5,2006,1145.0,1145,0,2,0,2,1,437.0,0,160000
3182,Blmngtn,8,5,2004,1256.0,1269,0,2,0,2,1,430.0,0,192000
13300,Gilbert,7,5,2004,384.0,744,630,2,1,3,1,400.0,0,184500
7851,Gilbert,6,5,2002,860.0,860,1100,2,1,4,1,440.0,0,216500
8577,Gilbert,7,5,2004,847.0,847,886,2,1,3,1,433.0,0,185088
7750,Gilbert,7,5,2000,384.0,774,656,2,1,3,1,400.0,0,180000
9505,Gilbert,7,5,2001,884.0,884,1151,2,1,3,1,434.0,0,222500
14774,NoRidge,9,5,1999,1393.0,1422,1177,2,1,4,1,779.0,0,333168
17433,NoRidge,8,5,1998,1629.0,1645,830,2,1,4,1,962.0,0,355000
10593,NoRidge,7,5,1996,1720.0,1720,0,2,0,3,1,527.0,0,260400
12256,NoRidge,8,5,1994,1463.0,1500,1122,2,1,3,1,712.0,0,325000
11764,NoRidge,8,7,1999,1152.0,1164,1106,2,1,4,1,671.0,0,290000
16770,NoRidge,7,5,1998,1195.0,1195,644,2,1,4,1,486.0,0,221000
14720,NoRidge,8,5,1995,2033.0,2053,1185,2,1,4,1,666.0,0,410000
8987,Somerst,8,5,2005,1595.0,1595,0,2,0,2,1,880.0,0,221500
9215,Somerst,7,5,2009,1218.0,1218,0,2,0,2,1,676.0,0,204500
8640,Somerst,7,5,2009,756.0,764,783,2,1,3,1,614.0,0,215200
9000,Somerst,8,5,2008,1566.0,1566,0,2,0,3,1,750.0,0,262500
12552,Somerst,7,5,2004,991.0,991,956,2,1,3,1,678.0,0,254900
10440,Somerst,6,5,2005,1468.0,1468,0,2,0,2,1,528.0,0,271500
10142,SawyerW,7,5,2004,956.0,956,1128,2,1,4,1,618.0,0,233000
11920,SawyerW,7,5,2004,831.0,831,828,2,1,3,1,484.0,0,181000
8880,SawyerW,7,5,1994,948.0,1222,888,2,1,3,1,463.0,0,205000
8012,SawyerW,6,5,1980,923.0,923,0,2,0,2,1,264.0,0,143000
11218,SawyerW,6,5,1992,1055.0,1055,790,2,1,3,1,462.0,0,189000
7892,SawyerW,6,5,1979,918.0,918,0,2,0,2,1,264.0,0,99500
7175,SawyerW,6,5,1984,744.0,752,0,1,0,2,1,264.0,0,125000
9453,SawyerW,7,7,1993,996.0,1014,730,2,1,3,1,457.0,0,194500
9672,SawyerW,6,5,1984,1040.0,1097,0,2,0,3,1,480.0,0,152000
8400,SawyerW,6,6,1980,650.0,888,676,2,1,3,1,476.0,0,171000
9800,SawyerW,5,5,1920,816.0,1012,0,1,0,2,1,429.0,0,67500
8930,Sawyer,6,5,1978,0.0,1318,584,2,0,4,2,539.0,0,112000
11782,Sawyer,5,7,1961,1109.0,1155,0,1,0,3,1,576.0,0,148000
8450,Sawyer,5,8,1965,894.0,894,0,1,0,3,1,336.0,0,138500
9819,Sawyer,5,5,1967,882.0,900,0,1,0,3,1,280.0,0,122000
7500,Sawyer,5,5,1963,1040.0,1040,0,1,1,3,1,308.0,0,133000
6897,Sawyer,5,8,1962,1040.0,1040,0,1,1,3,1,260.0,0,127000
15410,Sawyer,6,6,1974,1208.0,1494,0,2,0,3,1,461.0,0,169000
10186,NoRidge,7,5,1992,750.0,1061,862,2,1,3,1,564.0,0,190000
13143,NoRidge,8,5,1993,1231.0,1251,1098,2,1,4,1,762.0,0,362500
11134,NoRidge,8,5,1992,1390.0,1402,823,2,1,4,1,713.0,0,285000
4835,Somerst,7,5,2004,1488.0,1488,0,2,0,2,1,506.0,0,260000
3515,Somerst,7,5,2004,840.0,840,840,2,1,2,1,588.0,0,190000
3215,Somerst,7,5,2004,600.0,600,600,2,1,2,1,480.0,0,155000
3182,Somerst,7,5,2004,600.0,600,600,2,1,2,1,480.0,0,151000
2544,Somerst,7,5,2004,600.0,600,600,2,1,2,1,480.0,0,149500
2544,Somerst,6,5,2005,600.0,600,636,2,1,2,1,480.0,0,152000
4403,Somerst,7,5,2009,1470.0,1478,0,2,1,2,1,484.0,0,222000
2117,Somerst,6,5,2000,756.0,769,804,2,1,3,1,440.0,0,177500
2980,Somerst,6,5,2000,756.0,756,756,2,1,2,1,440.0,0,177000
2572,Somerst,7,5,1999,696.0,696,720,2,1,3,1,484.0,0,155000
2403,Somerst,7,5,2003,530.0,530,550,2,1,2,1,496.0,0,147110
12853,Somerst,8,5,2010,1642.0,1418,0,1,1,1,1,852.0,0,267916
7379,Somerst,8,5,2000,975.0,975,873,2,1,3,1,592.0,0,254000
4420,Greens,8,5,1980,728.0,788,0,1,0,1,1,484.0,0,155000
3880,Greens,8,6,1978,1226.0,1226,0,1,0,1,1,484.0,0,206000
13517,Sawyer,6,8,1976,725.0,725,754,2,1,3,1,475.0,0,130500
8000,Somerst,7,5,2002,1492.0,1492,0,2,0,3,1,596.0,0,230000
10456,NWAmes,6,6,1967,1829.0,1829,0,2,0,4,1,535.0,0,218500
10791,NWAmes,6,5,1993,1280.0,1280,1215,2,1,4,1,660.0,0,243500
10603,NWAmes,6,7,1977,1610.0,1610,0,2,0,3,1,480.0,0,205000
18837,NWAmes,6,5,1978,1224.0,1287,604,3,0,3,1,678.0,0,212500
10421,NWAmes,7,5,1988,980.0,980,734,2,1,3,1,496.0,0,196500
9360,NWAmes,6,7,1972,1161.0,1381,0,1,1,3,1,676.0,0,197500
9600,NWAmes,6,6,1971,715.0,930,715,1,2,4,1,441.0,0,171000
9600,NAmes,5,5,1966,1232.0,1232,0,1,1,3,1,490.0,0,142250
9790,NWAmes,6,5,1963,1328.0,1328,0,1,1,3,1,528.0,0,143000
9320,NAmes,4,5,1959,950.0,1225,0,1,1,3,1,0.0,0,128950
9900,NAmes,5,5,1966,1209.0,1209,0,1,0,3,1,504.0,0,159000
9680,NAmes,5,6,1967,1510.0,1510,0,2,0,3,1,517.0,0,178900
10600,NAmes,6,5,1964,533.0,1131,644,2,0,3,1,480.0,0,136300
